band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
15710	fortis	male	2	1988	Early	19.65	68.5	20.15	11	9.25	9.05	1.155385416	0.557724224	-0.651584117
15712	fortis	unknown	2	1988	Early	15	66	18.4	10.1	8.7	8.3	-1.265414653	-0.827236407	-0.55943505
15718	fortis	female	2	1988	Early	13.55	63.25	19.17	10.75	7.77	7.15	-1.693654863	-2.431677625	0.73191432
15757	fortis	male	2	1988	Early	15.43	67	19.1	10.57	8.7	8.3	-0.626121638	-0.691941532	-0.30124831
15781	fortis	female	2	1988	Early	13.91	63.83	18.1	10.89	9.11	8.85	-2.059440751	0.230838271	-0.558282844
15804	fortis	female	2	1988	Early	15.21	63.83	18.09	9.94	8.11	8.05	-1.765488047	-1.554497939	-0.288016908
15840	fortis	female	2	1988	Early	15.7	67	19.05	10.85	9.55	8.75	-0.589811466	0.455352675	-0.708807369
15854	fortis	male	2	1988	Early	14.16	65.84	18.85	10.64	8.91	8.7	-1.254998813	-0.134005237	-0.54205664
15865	fortis	female	2	1988	Early	14.31	62.83	18.85	10.19	8.66	8.4	-1.759159566	-0.736464046	-0.542553783
15910	fortis	female	2	1988	Early	17	67	19	11.85	11	9.95	-0.31650981	2.973404167	-1.327534264
15914	fortis	female	2	1988	Early	12.46	61.83	18.24	9.24	7.81	7.45	-2.678713848	-2.551396423	-0.259699461
15926	fortis	unknown	2	1988	Early	17.3	68	19.2	11.9	9.2	8.5	0.034733562	0.2569397	0.130638335
15934	fortis	female	2	1988	Early	13.71	66.83	19.84	11.14	9.11	8.7	-0.670253479	0.160372328	-0.347944862
15949	fortis	male	2	1988	Early	17.81	66.33	19.8	11.04	9.61	8.95	0.162978892	0.745088805	-0.725939976
15970	fortis	male	2	1988	Early	15.53	67	19	9.83	8.5	8.13	-0.654740375	-1.216827984	-0.544461567
15973	fortis	female	2	1988	Early	14.61	63.83	19.35	10.19	8.06	8	-1.253033336	-1.567621392	-0.106209925
15978	fortis	female	2	1988	Early	15.96	64.83	18.8	10.39	8.76	8.3	-1.047403848	-0.698622537	-0.424294828
15983	fortis	female	2	1988	Early	14.46	64.83	18.35	10.54	8.71	8.35	-1.624861365	-0.645577932	-0.346090933
16016	fortis	male	2	1988	Early	14.77	68.33	18.67	9.97	8.8	8.23	-0.761960245	-0.855902912	-0.637057068
16089	fortis	male	2	1988	Early	15.05	64	18.95	10.65	9.15	8.95	-1.32788128	0.286795096	-0.754903615
16162	fortis	female	2	1988	Early	14.97	66.33	18.07	10.13	8.9	8.23	-1.38363117	-0.734621658	-0.589441193
16168	fortis	unknown	2	1988	Early	17.5	65	18.4	10.5	9.5	8.8	-0.869154089	0.364466561	-0.905270218
16172	fortis	female	2	1988	Early	16.01	65.33	20.25	10.64	8.47	8.5	-0.197818184	-0.654896703	-0.267496235
2738	fortis	male	2	1989	Early	16	67	17.7	10.4	9.3	8.6	-1.217757681	-0.004674832	-0.782309121
2776	fortis	female	2	1989	Early	16.1	68	19.1	11.3	10	8.2	-0.293000642	0.401147621	-0.375172401
5400	fortis	female	2	1989	Early	16.2	67	19.1	11.5	9.9	8.7	-0.448953247	0.858267491	-0.468376921
5504	fortis	male	2	1989	Early	17.2	69	20.3	11.9	9.8	9	0.758589979	1.183051246	-0.354375263
5543	fortis	female	2	1989	Early	18	68	19.5	11.8	10.5	9.7	0.350678594	2.345508475	-1.031939173
5556	fortis	female	2	1989	Early	14	66	17.9	10	8.6	8.2	-1.753641569	-1.026200176	-0.525421175
